Year,Grants,Tuition,Ancillary,Private,Other
2014,43.9,34.8,14.7,2.7,3.9
2013,45,34.3,14.9,2.8,3
2012,46.3,32.9,15.7,2,3.1
2011,46.7,31.7,15.8,3,2.8
2010,47.3,31.1,15.3,2.5,3.8
